NAME                                             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
ip-10-0-23-125.ap-southeast-1.compute.internal   115m         5%       1333Mi          40%         
ip-10-0-24-177.ap-southeast-1.compute.internal   309m         16%      4198Mi          59%         
ip-10-0-26-153.ap-southeast-1.compute.internal   163m         8%       2168Mi          30%         
ip-10-0-4-166.ap-southeast-1.compute.internal    31m          1%       939Mi           28%         
ip-10-0-40-18.ap-southeast-1.compute.internal    30m          1%       451Mi           14%         
ip-10-0-43-83.ap-southeast-1.compute.internal    140m         7%       3040Mi          42%         
ip-10-0-5-56.ap-southeast-1.compute.internal     21m          1%       453Mi           14%         
ip-10-0-6-11.ap-southeast-1.compute.internal     98m          5%       1536Mi          46%         
ip-10-0-8-134.ap-southeast-1.compute.internal    92m          4%       3025Mi          42%         
